UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Emre Tokkan,@etokkan,2020-10-14T20:10:45.000Z,"@Turkcell
 35 mbps fiber bağlantım var ama görünen 1.65 mbps  sayfa açamıyorum. Bu nedir Allah aşkına? Ayıptır kardeşim bir de dalga geçer gibi hiçbir sorun yok diyorsunuz.
#turkcellsuperonline
#Turkcell
@TurkcellHizmet",,1,,
Berkan Sezer,@berkansezer,2020-10-14T12:49:38.000Z,"Apple’ın dünkü etkinliğinde bahsedilen hızlardan bir örnek. Türkiye’de belki bu kadar hızlı veriler göremeyeceğiz ama yinede 5G’nin gelişiyle beraber internet adına bildiğimiz her şey değişecek. #5G #internet #iphone12 #turkcell #VodafoneQuote Tweet
George Koroneos
@GLKCreative
 · Oct 13
Boom! I just cracked 3.4 Gbps in downtown Baltimore on @Verizon 5G Ultra Wideband. This is the 5G America's been waiting for. #5GBuiltRight",🗿 🍹,,,1
Kendine Eğlenen,@etsdln,2020-10-14T12:28:59.000Z,Ki hali. #superbox #turkcell ocak ayından benim sorunumu çözmediniz ya gün yüzü göremeyin,,1,,
adaniz,@adaniz4,2020-10-14T12:04:09.000Z,"@Turkcell
 pandemi nedeniyle Turkiye ye gidemedim ve deaktif olan hattimi acmak icin yeni dogum yapmis olmama ragmen yurtdisindan Turkiye gelmemi soyleyen teknoloji sirketi Turkcell,  tum Turkiye de hersey uzaktan yapilirken sizce de bu durum fazlaca teknolojik degil mi?#turkcell",,1,,
Crypto2Mobile.com,@crypto2mobile,2020-10-14T11:50:39.000Z,"Replying to 
@kriptokoinŞu andan itibaren Türk Telekom, TurkCell ve Vodafone Türkiye ve Kıbrıs'ı bitcions veya ethereum gibi kripto para birimleriyle doldurabilirsiniz. #topup #recharge #TurkTelekom #TurkCell #Vodafone #BTC
 #BCH #ETH #LTC hizmetimizde:",,,,
Yusuf,@y0zdas,2020-10-14T10:56:26.000Z,"Replying to 
@birk#Turkcell mobile #4.5g #ulus district #Ankara very weak than they claimed. $36.35 per month",,,,
Yılmaz BOZAN,@yilmazbozan,2020-10-14T10:47:18.000Z,"#BossLifeMagazine dergisi Ekim sayısına sevgili kedim #Dublin ile konuk olduk. 
Online Platformda okumak için #Turkcell 
@dergilik
  uygulaması : https://dergilik.com.tr/magazine/54628 
@revolutiondmcom
 #dijitalpazarlama #eticaret",😸,1,3,4
Human Resources Department,@HRDkariyer,2020-10-14T10:00:09.000Z,"Şirket, yurt dışında çalışan Türk vatandaşlarına şirkette kendilerine uygun olan pozisyonlara başvuruda bulunma çağrısı yaptı. 

#istihdam #turkcell #hr #iş #işçi #İstanbul #HumanResources #ekim #carsamba",,,,9
mehmet yanık,@myanik753,2020-10-14T09:47:28.000Z,#Turkcell,,,,
waytosay,@waytosayist,2020-10-14T09:45:04.000Z,"Türkiye’nin lider telekomünikasyon şirketlerinden Turkcell’in CEO’su Murat Erkan binlerce çalışanın sevgisini kazanmayı başardığı liderlik sırlarıyla karşımızda!

Bu keyifli röportajı izlemek için: https://insanvemarka.com/murat-erkan-pandemi-doneminde-liderlik/?utm_source=mailing&utm_medium=muraterkan&utm_campaign=ekim… 

#Turkcell
#insanvemarka
#muraterkan
#liderlik",,,,
